2016-10-20 20:17:24 startup archives install
2016-10-20 20:17:24 install base-passwd:amd64 <none> 3.5.37
2016-10-20 20:17:24 status half-installed base-passwd:amd64 3.5.37
2016-10-20 20:17:25 status unpacked base-passwd:amd64 3.5.37
2016-10-20 20:17:25 status unpacked base-passwd:amd64 3.5.37
2016-10-20 20:17:25 configure base-passwd:amd64 3.5.37 3.5.37
2016-10-20 20:17:25 status unpacked base-passwd:amd64 3.5.37
2016-10-20 20:17:25 status half-configured base-passwd:amd64 3.5.37
2016-10-20 20:17:25 status installed base-passwd:amd64 3.5.37
2016-10-20 20:17:25 startup archives install
2016-10-20 20:17:25 install base-files:amd64 <none> 8+deb8u6
2016-10-20 20:17:25 status half-installed base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 configure base-files:amd64 8+deb8u6 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status half-configured base-files:amd64 8+deb8u6
2016-10-20 20:17:26 status installed base-files:amd64 8+deb8u6
2016-10-20 20:17:26 startup archives install
2016-10-20 20:17:27 upgrade dpkg 1.17.27 1.17.27
2016-10-20 20:17:27 status half-configured dpkg 1.17.27
2016-10-20 20:17:27 status unpacked dpkg 1.17.27
2016-10-20 20:17:27 status half-installed dpkg 1.17.27
2016-10-20 20:17:28 status half-installed dpkg 1.17.27
2016-10-20 20:17:28 status unpacked dpkg 1.17.27
2016-10-20 20:17:28 status unpacked dpkg 1.17.27
2016-10-20 20:17:28 configure dpkg 1.17.27 1.17.27
2016-10-20 20:17:28 status unpacked dpkg 1.17.27
